text,emotion
"organic chemistry concepts are unclear to me, I feel totally lost.",Confused
"I've tried everything for object oriented programming and I'm still stuck, it's so annoying.",Frustrated
"I don't understand thermodynamics at all, I'm completely confused.",Confused
"I'm tired of grammar rules, it feels repetitive and dull.",Bored
Why is economics so hard? I'm about to lose my patience.,Frustrated
What happens if we apply physics mechanics differently? I'm curious to find out.,Curious
"I've got SQL joins down, I'm sure I can solve any problem now.",Confident
"I have no idea how linear algebra works, everything is a blur.",Confused
"This economics assignment is driving me crazy, I want to give up.",Frustrated
I'm stuck on calculus and don't know where to even start.,Confused
I'm really curious about how python loops actually works under the hood.,Curious
"I'm so frustrated with recursion, nothing I try works.",Frustrated
"I don't understand database design at all, I'm completely confused.",Confused
I wonder how python loops applies to real world problems.,Curious
"I keep zoning out during linear algebra, it's just not engaging.",Bored
"I finally understand cell biology completely, I feel really confident now.",Confident
"This SQL joins assignment is driving me crazy, I want to give up.",Frustrated
"calculus sounds fascinating, I want to explore it further.",Curious
Studying economics today just feels tedious and uninteresting.,Bored
I re-read the linear algebra chapter three times and I'm still confused.,Confused
What happens if we apply machine learning differently? I'm curious to find out.,Curious
Can someone explain economics? I'm really puzzled by it.,Confused
I'm really curious about how recursion actually works under the hood.,Curious
I understand python loops well enough to explain it to someone else.,Confident
"I solved the object oriented programming problem easily, I feel capable and sure of myself.",Confident
"I'm so frustrated with python loops, nothing I try works.",Frustrated
"I don't understand recursion at all, I'm completely confused.",Confused
"I'm eager to dive deeper into recursion, it seems interesting.",Curious
"I'm tired of data structures, it feels repetitive and dull.",Bored
"I feel great about SQL joins, everything makes sense to me.",Confident
economics used to be hard but now I feel very comfortable with it.,Confident
I'm confident I can ace the statistics exam after this practice.,Confident
I wonder how web development applies to real world problems.,Curious
I keep making mistakes in linear algebra and it's so frustrating.,Frustrated
"I have no idea how SQL joins works, everything is a blur.",Confused
"I've got algorithms down, I'm sure I can solve any problem now.",Confident
I'm really curious about how neural networks actually works under the hood.,Curious
"This linear algebra topic is intriguing, I want to learn more about it.",Curious
I wonder how physics mechanics applies to real world problems.,Curious
"I'm so lost on python loops, none of it makes sense to me.",Confused
"I feel so bored studying SQL joins, nothing seems interesting.",Bored
"I don't understand SQL joins at all, I'm completely confused.",Confused
"I keep zoning out during object oriented programming, it's just not engaging.",Bored
"economics class has become so dull, I can barely stay awake.",Bored
Can someone explain physics mechanics? I'm really puzzled by it.,Confused
"I finally understand economics completely, I feel really confident now.",Confident
I wonder how linear algebra applies to real world problems.,Curious
organic chemistry is so hard that I just want to throw my laptop.,Frustrated
"object oriented programming class has become so dull, I can barely stay awake.",Bored
I wonder how cell biology applies to real world problems.,Curious
"Honestly database design is putting me to sleep, it's just monotonous.",Bored
"I've got data structures down, I'm sure I can solve any problem now.",Confident
"economics concepts are unclear to me, I feel totally lost.",Confused
Can someone explain calculus? I'm really puzzled by it.,Confused
Studying organic chemistry today just feels tedious and uninteresting.,Bored
"linear algebra class has become so dull, I can barely stay awake.",Bored
recursion is so hard that I just want to throw my laptop.,Frustrated
"I've tried everything for organic chemistry and I'm still stuck, it's so annoying.",Frustrated
"database design concepts are unclear to me, I feel totally lost.",Confused
I keep thinking about data structures and want to understand it deeply.,Curious
I keep making mistakes in database design and it's so frustrating.,Frustrated
"I don't understand physics mechanics at all, I'm completely confused.",Confused
"I keep zoning out during SQL joins, it's just not engaging.",Bored
I keep thinking about database design and want to understand it deeply.,Curious
"I have no idea how cell biology works, everything is a blur.",Confused
"linear algebra concepts are unclear to me, I feel totally lost.",Confused
"I'm so frustrated with cell biology, nothing I try works.",Frustrated
"I keep zoning out during object oriented programming, it's just not engaging.",Bored
"I solved the database design problem easily, I feel capable and sure of myself.",Confident
I keep thinking about python loops and want to understand it deeply.,Curious
I understand recursion well enough to explain it to someone else.,Confident
"data structures class has become so dull, I can barely stay awake.",Bored
"SQL joins sounds fascinating, I want to explore it further.",Curious
Why is algorithms so hard? I'm about to lose my patience.,Frustrated
"I've tried everything for probability and I'm still stuck, it's so annoying.",Frustrated
What happens if we apply web development differently? I'm curious to find out.,Curious
"I feel so bored studying database design, nothing seems interesting.",Bored
"I'm so lost on algorithms, none of it makes sense to me.",Confused
I keep making mistakes in machine learning and it's so frustrating.,Frustrated
"I've got linear algebra down, I'm sure I can solve any problem now.",Confident
"I'm tired of SQL joins, it feels repetitive and dull.",Bored
"I've tried everything for neural networks and I'm still stuck, it's so annoying.",Frustrated
I understand web development well enough to explain it to someone else.,Confident
I'm really curious about how cell biology actually works under the hood.,Curious
I wonder how linear algebra applies to real world problems.,Curious
"I've tried everything for organic chemistry and I'm still stuck, it's so annoying.",Frustrated
Can someone explain SQL joins? I'm really puzzled by it.,Confused
Studying python loops today just feels tedious and uninteresting.,Bored
I keep thinking about organic chemistry and want to understand it deeply.,Curious
I understand linear algebra well enough to explain it to someone else.,Confident
